instance_id,cp_makespan,rl_makespan_greedy,gap_greedy,gap_best
0,1241.0,3043.0,1.452054794520548,1.452054794520548
1,1231.0,3546.0,1.8805848903330626,1.8805848903330626
2,1244.0,3751.0,2.015273311897106,2.015273311897106
3,1218.0,4158.0,2.413793103448276,2.413793103448276
4,1175.0,3160.0,1.6893617021276597,1.6893617021276597
5,1227.0,3528.0,1.8753056234718826,1.8753056234718826
6,1246.0,3253.0,1.6107544141252006,1.6107544141252006
7,1229.0,3050.0,1.4816924328722538,1.4816924328722538
8,1218.0,3465.0,1.8448275862068966,1.8448275862068966
9,1298.0,3055.0,1.3536209553158707,1.3536209553158707
