meta_iter,meta_batch_size,inner_steps,inner_lr,meta_lr,delta_norm,inner_loss_mean,inner_makespan_mean,val_makespan,best_val_makespan,saved_best,duration_sec
1,16,3,0.0002,0.002,0.008448791784309897,44080457.27176082,1556.9375,,,0,181.564
2,16,3,0.0002,0.002,0.009369075410763416,31901219.787004434,1514.3125,5842.72,5842.72,1,359.709
1,1,3,0.0002,0.002,0.0010709317841847616,23010217.47885592,1456.0,3924.76,3924.76,1,192.558
1,32,1,0.0001,0.001,0.002908564137901287,0.36002323124557734,1539.09375,,,0,114.018
1,32,1,0.0001,0.001,0.02114546064069638,1299.4411656411996,1555.15625,,,0,126.687
1,32,1,0.0001,0.001,0.018712822850205136,1925.2799839232466,1496.125,,,0,136.862
2,32,1,0.0001,0.001,0.019265891976489122,1922.1464458345436,1527.3125,,,0,135.833
3,32,1,0.0001,0.001,0.01919711869645807,1688.3964863651927,1547.875,,,0,135.785
4,32,1,0.0001,0.001,0.01827602065654363,1816.7854761516937,1540.625,,,0,137.037
1,16,1,0.0001,0.001,0.004067153924949615,1.430528001349034,1535.0,4085.16,4085.16,1,247.55
1,16,1,0.0001,0.001,0.00445601224783133,2.2828799851856867,2595.75,2289.9,2289.9,1,1635.677
1,16,1,0.0001,0.001,0.0047904023542933724,2.368286435742251,2775.4375,2336.0,2336.0,1,1626.419
1,16,1,0.0001,0.001,0.004499266073241041,2.2264437297026918,2519.1875,,,0,69.253
2,16,1,0.0001,0.001,0.004512747177182463,2.272798498331624,2642.375,,,0,68.737
3,16,1,0.0001,0.001,0.004547562454120372,2.299676319662008,2579.875,,,0,68.776
4,16,1,0.0001,0.001,0.004668267812646805,2.3636739231371653,2640.5,,,0,68.545
5,16,1,0.0001,0.001,0.004725760542700521,2.338547468677195,2677.0,,,0,68.619
6,16,1,0.0001,0.001,0.0048711829380984235,2.300785956333706,2575.5,,,0,68.773
7,16,1,0.0001,0.001,0.004790380789283809,2.379885120844276,2601.5625,,,0,68.892
8,16,1,0.0001,0.001,0.004755631910299015,2.143051253855423,2588.75,,,0,68.671
9,16,1,0.0001,0.001,0.004488780211626212,2.3694621221596206,2679.0625,,,0,68.607
10,16,1,0.0001,0.001,0.0046594585903968295,2.0649680053951145,2541.25,2317.66,2317.66,1,1615.625
11,16,1,0.0001,0.001,0.004621782761031825,2.175503283610328,2604.8125,,2317.66,0,68.347
12,16,1,0.0001,0.001,0.004460657621325101,2.1881105306262616,2546.125,,2317.66,0,68.59
13,16,1,0.0001,0.001,0.004776866072312271,2.225099750850744,2567.8125,,2317.66,0,68.408
14,16,1,0.0001,0.001,0.004854365830268772,2.401399620847817,2583.0,,2317.66,0,68.541
15,16,1,0.0001,0.001,0.0049234913803551765,2.4331738706497448,2780.5,,2317.66,0,68.648
16,16,1,0.0001,0.001,0.004371178128057443,2.126457833280614,2544.5,,2317.66,0,68.824
17,16,1,0.0001,0.001,0.004866090058615201,2.4271365786923362,2633.4375,,2317.66,0,68.766
18,16,1,0.0001,0.001,0.004815681345444811,2.3535755539773158,2619.9375,,2317.66,0,68.725
19,16,1,0.0001,0.001,0.004568124177352743,2.362555847908905,2632.8125,,2317.66,0,68.761
20,16,1,0.0001,0.001,0.004674732623053,2.2447541351530464,2682.0,2303.5,2303.5,1,1613.928
21,16,1,0.0001,0.001,0.0046979619912759455,2.2287679785198904,2669.0,,2303.5,0,68.506
22,16,1,0.0001,0.001,0.004740921892579909,2.234476959509406,2669.8125,,2303.5,0,68.205
23,16,1,0.0001,0.001,0.004867289079840616,2.2812147569083114,2693.3125,,2303.5,0,68.193
24,16,1,0.0001,0.001,0.004446396571862592,2.1826342788590205,2557.3125,,2303.5,0,68.187
25,16,1,0.0001,0.001,0.0047201350584818915,2.2518980521038605,2553.0,,2303.5,0,68.282
26,16,1,0.0001,0.001,0.0043905580870358995,2.341804511030498,2807.1875,,2303.5,0,68.34
27,16,1,0.0001,0.001,0.004731612945658255,2.0031952016450574,2517.125,,2303.5,0,67.994
28,16,1,0.0001,0.001,0.004748556648817234,2.2878863719507803,2586.5,,2303.5,0,67.802
29,16,1,0.0001,0.001,0.004483521876907875,2.407410631635302,2641.75,,2303.5,0,67.756
30,16,1,0.0001,0.001,0.004508423055566249,2.2673699463806494,2617.8125,2299.9,2299.9,1,1610.211
31,16,1,0.0001,0.001,0.0050536510205628615,2.2532772560514527,2625.125,,2299.9,0,69.168
32,16,1,0.0001,0.001,0.00481704519582874,2.3209384635705255,2491.1875,,2299.9,0,69.129
33,16,1,0.0001,0.001,0.0044484300736691955,2.318457222755603,2665.8125,,2299.9,0,68.009
34,16,1,0.0001,0.001,0.004938881936160476,2.3067226939925853,2674.375,,2299.9,0,68.012
35,16,1,0.0001,0.001,0.00478978533655992,2.22041749616193,2624.75,,2299.9,0,67.845
36,16,1,0.0001,0.001,0.004771525034689923,2.155431670297161,2666.9375,,2299.9,0,67.998
37,16,1,0.0001,0.001,0.004387907320820071,2.3397155853478826,2665.4375,,2299.9,0,68.298
38,16,1,0.0001,0.001,0.004554704020098775,2.2892403359812863,2585.875,,2299.9,0,68.565
39,16,1,0.0001,0.001,0.00492999666223762,2.224738227047158,2579.4375,,2299.9,0,68.528
40,16,1,0.0001,0.001,0.004773253169184041,2.223419707824983,2675.375,2312.84,2299.9,0,1613.222
41,16,1,0.0001,0.001,0.004449464441130441,2.252647078039977,2612.3125,,2299.9,0,68.422
42,16,1,0.0001,0.001,0.004467681893303891,2.0729337891199724,2648.25,,2299.9,0,68.31
43,16,1,0.0001,0.001,0.004698548623844219,2.28451931648136,2557.1875,,2299.9,0,68.353
44,16,1,0.0001,0.001,0.0048462387100015525,2.421269806704127,2627.6875,,2299.9,0,68.407
45,16,1,0.0001,0.001,0.004425484006755689,2.1643385821927343,2570.5625,,2299.9,0,68.417
46,16,1,0.0001,0.001,0.004681223316276998,2.3142856532685503,2665.0625,,2299.9,0,68.731
47,16,1,0.0001,0.001,0.0045804743600493655,2.3820278113421036,2639.75,,2299.9,0,68.808
48,16,1,0.0001,0.001,0.004477973468790315,2.294341418789118,2666.5625,,2299.9,0,68.749
49,16,1,0.0001,0.001,0.004534239449000547,2.286404421472521,2650.9375,,2299.9,0,68.762
50,16,1,0.0001,0.001,0.004687225045896027,2.374335871432245,2558.875,2282.66,2282.66,1,1612.324
51,16,1,0.0001,0.001,0.00459478039679411,2.224411030989428,2577.5625,,2282.66,0,68.245
52,16,1,0.0001,0.001,0.004680787631990883,2.2557620000640903,2642.875,,2282.66,0,68.171
